111,85,"Air movements within the Earth's atmospheric circulation; also called planetary winds. Two main components are recognized: first, the latitudinal meridional component due to the Coriolis force (a deflecting motion or force discussed by G.G. de Coriolis in 1835. The rotation of the Earth causes a body moving across its surface to be deflected to the right in the N hemisphere and to the left in the S hemisphere); and secondly, the longitudinal component and the vertical movement, resulting largely from varying pressure distributions due to differential heating and cooling of the Earth's surface.\n(Source: WHIT)",,,"GEMET"
112,85,"Any pollutant agent or combination of such agents, including any physical, chemical, biological, radioactive substance or matter which is emitted into or otherwise enters the ambient air and can, in high enough concentrations, harm humans, animals, vegetation or material.\n(Source: LEE /  TOE)",,,"GEMET"
113,85,"Presence in the atmosphere of large quantities of gases, solids and radiation produced by the burning of natural and artificial fuels, chemical and other industrial processes and nuclear explosions.",,,"GEMET"
114,85,"A landing and taking-off area for civil aircraft, usually with surfaced runways and aircraft maintenance and passenger facilities.",,,"GEMET;OLPC Children's Dictionary;Mapping;General Dictionary"
115,85,"The degree to which air is polluted; the type and maximum concentration of man-produced pollutants that should be permitted in the atmosphere.\n(Source: ALL /  WRIGHT)",,,"GEMET"
116,85,"The measurement of ambient air-pollution concentrations in order to determine whether there is a problem in a given region.\n(Source: CONFERa)",,,"GEMET"
118,85,"Any measure, technique or design intended to reduce the risk of harm posed by either moving vehicles or projectiles above the earth's surface or pollutants to the earth's atmosphere.",,,"GEMET"
120,85,"The temperature of the atmosphere which represents the average kinetic energy of the molecular motion in a small region and is defined in terms of a standard or calibrated thermometer in thermal equilibrium with the air.",,,"GEMET"
121,85,"Aircraft moving in flight or on airport runways.",,,"GEMET"
122,85,"International rules and conventions relating to air transportation.",,,"GEMET"
123,85,"Rules and regulations that govern civil and military air traffic.",,,"GEMET"
124,85,"The use of aircraft, predominantly airplanes, to move passengers and cargo.",,,"GEMET"
126,85,"The act of signalling an impending danger in order to call attention to some event or condition.",,,"GEMET"
127,85,"A group of organic chemical compounds composed of carbon, hydrogen, and oxygen. The molecules in the series vary in chain length and are composed of a hydrocarbon plus a hydroxyl group. Alcohol includes methanol and ethanol.\n(Source: EIADOE)",,,"GEMET;Mapping"
128,85,"Simple, green, aquatic plants without stems, roots or leaves. They are found floating in the sea and fresh water, but they also grow on the surface of damp walls, rocks, the bark of trees and on soil.\n(Source: WRIGHT)",,,"GEMET;Mapping"
129,85,"Excessive and rapid growth of algae and other aquatic plants. It takes place when there are too many nutrients in the water through pollution from agricultural areas, i.e. higher levels of nitrogen and phosphates.",,,"GEMET"
130,85,"Any substance or chemical applied to kill or control algal growth.",,,"GEMET;Mapping"
131,85,"Any substance composed of two or more unlike atoms held together by chemical bonds characterized by straight-chained, branched or cyclic properties.",,,"GEMET"
132,85,"A class of organic compounds containing only carbon and hydrogen atoms joined to form one or more rings and having the properties of both aliphatic and cyclic substances.\n(Source: MGH /  RRDA)",,,"GEMET"
133,85,"Any organic compound of hydrogen and carbon characterized by a straight chain of the carbon atoms.\n(Source: MGH)",,,"GEMET"
134,85,"Hydrocarbons having an open chain of carbon atoms, whether normal or forked, saturated or unsaturated.\n(Source: MGH)",,,"GEMET;Mapping"
135,85,"Any geomorphic area, often a level lake-like plain, with soil containing a high percentage of mineral salts, located especially in arid regions.\n(Source: MHD / RHW)",,,"GEMET"
136,85,"Soil that contains sufficient exchangeable sodium to interfere with water penetration and crop growth, either with or without appreciable quantities of soluble salts.\n(Source: LANDY)",,,"GEMET"
137,85,"Paraffins. A homologous series of saturated hydrocarbons having the general formula CnH2n+2. Their systematic names end in -ane. They are chemically inert, stable, and flammable. The first four members of the series (methane, ethane, propane, butane) are gases at ordinary temperatures; the next eleven are liquids, and form the main constituents of paraffin oil; the higher members are solids. Paraffin waxs consists mainly of higher alkanes.\n(Source: UVAROV)",,,"GEMET;Mapping"
138,85,"Compound containing one or more alkyl radicals.",,,"GEMET"
139,85,"Any antigen, such as pollen, a drug, or food, that induces an allergic state in humans or animals.\n(Source: MGH)",,,"GEMET;Mapping"
140,85,"A condition of abnormal sensitivity in certain individuals to contact with substances such as proteins, pollens, bacteria, and certain foods. This contact may result in exaggerated physiologic responses such as hay fever, asthma, and in severe enough situations, anaphylactic shock.\n(Source: KOREN)",,,"GEMET"
141,85,"The assignment or allotment of resources to various uses in accord with a stated goal or policy.\n(Source: ODE)",,,"GEMET"
143,85,"Any of a large number of substances having metallic properties and consisting of two or more elements; with few exceptions, the components are usually metallic elements.",,,"GEMET"
144,85,"An overflowing; an inundation or flood, especially when the water is charged with much suspended material.\n(Source: BJGEO)",,,"GEMET;Destination Italy"
145,85,"A stream of alpha particles which are ejected from many radioactive substances having a penetrating power of a few cm in air but can be stopped by a thin piece of paper.",,,"GEMET"
147,85,"Technology that aims to utilize resources sparingly, with minimum damage to the environment.",,,"GEMET"
148,85,"A natural or synthetic oxide of aluminum widely distributed in nature, often found as a constituent part of clays, feldspars, micas and other minerals, and as a major component of bauxite.",,,"GEMET;Mapping"
153,85,"A tiny, thin-walled, capillary-rich sac in the lungs where the exchange of oxygen and carbon dioxide takes place.",,,"GEMET"
154,85,"A solution of a metal in mercury.",,,"GEMET;Mapping"
155,85,"Continent which extends on a great part of the Occidental Hemisphere of the Earth, from the Artic Ocean in the North, to the Cape Horn in the South at the confluence of the Atlantic and Pacific Oceans, which delimits the continent on the East and West respectively.",,,"GEMET;OLPC Children's Dictionary;Mapping;General Dictionary"
156,85,"A bioassay developed by Bruce N. Ames in 1974, performed on bacteria to assess the capability of environmental chemicals to cause mutations.",,,"GEMET;Mapping"
157,85,"One of a class of organic compounds which can be considered to be derived from ammonia by replacement of one or more hydrogens by organic radicals.\n(Source: MGH)",,,"GEMET;Mapping"
158,85,"Organic compounds containing a carboxyl group (-COOH) and an amino group (-NH2). About 30 amino acids are known. They are fundamental constituents of living matter because protein molecules are made up of many amino acid molecules combined together. Amino acids are synthesized by green plants and some bacteria, but some (arginine, histidine, lysine. threonine, methionine, isoleucine, leucine, valine, phenylalanine, tryptophane) cannot be synthesized by animals and therefore are essential constituents of their diet. Proteins from specific plants may lack certain amino acids, so a vegetarian diet must include a wide range of plant products.\n(Source: ALL)",,,"GEMET;Mapping"
159,85,"A colorless gaseous alkaline compound that is very soluble in water, has a characteristic pungent odour, is lighter than air, and is formed as a result of the decomposition of most nitrogenous organic material.",,"GEMET;chemical compound","GEMET;Mapping"
160,85,"Addition of ammonia or ammonia compounds, especially to the soil.",,,"GEMET"
161,85,"A positively charged polyatomic cation of the chemical formula NH4+ formed by protonation of ammonia (NH3).",,"chemical compound","GEMET;Mapping"
162,85,"A class of vertebrate animals characterized by a moist, glandular skin, gills at some stage of development, and no amnion during the embryonic stage.\n(Source: MGH)",,"animal;class","GEMET;Mapping"
163,85,"An open-air entertainment area consisting of stalls, side shows etc.\n(Source: CED)",,,"GEMET"
168,85,"The branch of chemistry dealing with techniques which yield any type of information about chemical systems.\n(Source: MGH)",,,"GEMET;Mapping"
170,85,"Method to analyse the performance of a process or system.",,,"GEMET;Mapping"
171,85,"A family of waterfowl, including ducks, geese, mergansers, pochards and swans, scientific name Anatidae, in the order Anseriformes.",,"animal;family","GEMET;Mapping"
172,85,"The science concerned with the physical structure of animals and plants.",,"science","GEMET;Mapping"
173,85,"The division of seed plants that includes all the flowering plants, characterized by the possession of flowers. The ovules, which become seeds after fertilization, are enclosed in ovaries. The xylem contains true vessels. The angiospermae are divided into two subclasses: Monocotyledoneae and Dycotiledoneae.\n(Source: ALL)",,"flora;class","GEMET;Mapping"
174,85,"The art or sport of catching fish with a rod and line and a baited hook or other lure, such as a fly.",,"sport","GEMET"
176,85,"A disease that is mainly found in certain animals (and not in plants or humans).",,"disease","GEMET"
178,85,"A study of the relationships of animals to their environment.\n(Source: MGH)",,,"GEMET"
179,85,"Investigation carried out in animals for research purposes.",,,"GEMET"
181,85,"The scientific study of the hereditary material of animals for theoretical and practical applications such as increased population, conservation and disease research.\n(Source: EEN)",,"biological science;GEMET","GEMET"
182,85,"Any kind of shelter, refuge affording protection to animals.",,"GEMET","GEMET"
183,85,"A branch of agriculture concerned with the breeding and feeding of domestic animals.\n(Source: MGH)",,"GEMET","GEMET"
184,85,"Animal excreta collected from stables and barnyards with or without litter; used to enrich the soil.\n(Source: MGH)",,"GEMET","GEMET"
185,85,"Noise caused by animals such as dogs kept in kennels or in private homes as pets.",,,"GEMET"
186,85,"Ingestion, digestion and/or assimilation of food by animals.","biology",,"GEMET"
187,85,"Study of the normal processes and metabolic functions of animal organisms.\n(Source: LBC)",,,"GEMET"
190,85,"Precautionary actions or procedures taken to prevent or reduce the harm to sentient, non-human species, posed, in most cases, by humans.",,,"GEMET"
192,85,"Animals bred and killed for the production of food.",,"GEMET","GEMET"
193,85,"A protection providing housing for animals in bad weather. (Source: RRDA)",,"GEMET","GEMET"
194,85,"Any living organism characterized by voluntary movement, the possession of cells with noncellulose cell walls and specialized sense organs enabling rapid response to stimuli, and the ingestion of complex organic substances such as plants and other animals.","zoology",,"GEMET;Swadesh list;OLPC Children's Dictionary;Mapping;Community Database class;General Dictionary"
196,85,"The process or act of exchanging, buying or selling animals, especially livestock.",,,"GEMET"
198,85,"An ion that is negatively charged.",,,"GEMET;Mapping"
200,85,"The situation in which two chemicals upon interaction interfere in such a way that the action of one partially or completely inhibits the effects of the other.",,,"GEMET"
202,85,"A continent lying chiefly within the Antarctic Circle and asymmetrically centered on the South Pole.",,"continent","GEMET;OLPC Children's Dictionary;ISO 3166-1 alpha-2;Mapping;General Dictionary"
203,85,"The ecosystem of the antarctic region of planet Earth.",,,"GEMET"
204,85,"The waters, including ice shelves, that surround the continent of Antarctica, which comprise the southernmost parts of the Pacific, Atlantic and Indian oceans, and also the Ross, Amundsen, Bellingshausen and Weddell seas.",,,"GEMET"
205,85,"An area within the Antarctic Circle that includes the fifth largest continent and its surrounding waters, consisting mostly of thick ice shelves.\n(Source: INP / CIA)",,,"GEMET"
